p_id,Gender,age,vintage (days),has_passed_logical_ability,has_passed_reading_comprehension,has_passed_general_awareness,has_passed_attention_to_detail,has_passed_pattern_recog,Life Time Earnings in Rs.,qualifiers_rejects,qualifiers_approved,qualifiers_re_attempts,voice_rejects,voice_approved,voice_re_attempts,sd_rejects,sd_approved,sd_re_attempts,ts_rejects,ts_approved,ts_re_attempts,other_data_rejects,other_data_approved,other_data_re_attempts,lives
46300,1,20,177,TRUE,TRUE,FALSE,TRUE,TRUE,22892.83,14,77,93,0,0,0,14,2147,236,17,1211,79,57,6072,688,5
50615,2,30,136,FALSE,FALSE,TRUE,TRUE,TRUE,22687.26,13,125,104,0,2095,0,1,1409,164,0,1974,26,16,6520,575,5
32123,2,20,375,FALSE,FALSE,TRUE,TRUE,TRUE,22573.48,14,41,56,0,0,5,3,3456,185,1,1974,53,24,7368,826,5
40283,2,26,256,TRUE,TRUE,TRUE,TRUE,FALSE,22491.01,30,191,161,0,0,5,1,436,145,1,1962,45,52,6153,1810,5
46913,2,23,169,FALSE,FALSE,TRUE,TRUE,TRUE,22472.94,18,52,58,1,0,3,4,4603,305,1,423,16,28,6387,755,5
47311,1,21,165,TRUE,TRUE,TRUE,TRUE,FALSE,22300.27,9,41,34,0,0,5,4,5749,474,0,142,4,17,6501,720,5
50272,1,21,140,TRUE,TRUE,TRUE,TRUE,TRUE,22042.54,8,56,29,1,0,0,2,2238,83,0,60,4,14,4865,199,5
50245,2,33,140,TRUE,TRUE,TRUE,TRUE,TRUE,21921.41,15,168,89,0,2804,2,1,579,104,0,941,6,21,6510,721,5
45773,1,26,184,TRUE,TRUE,TRUE,TRUE,TRUE,21784.09,10,31,47,0,1,2,2,1858,168,0,1418,73,17,5349,391,5
40558,1,25,250,FALSE,FALSE,FALSE,FALSE,FALSE,21261.64,13,38,68,0,1,7,22,3620,416,51,1478,29,98,5858,697,5
42991,1,19,227,TRUE,TRUE,FALSE,TRUE,TRUE,21240.85,10,62,82,1,2,2,1,3505,170,0,619,12,14,5958,579,5
49240,1,26,150,FALSE,FALSE,FALSE,FALSE,TRUE,20639.44,23,39,68,0,0,0,1,2866,339,0,1978,178,29,6314,812,5
39450,2,19,273,TRUE,TRUE,FALSE,TRUE,TRUE,20485.93,17,77,61,9,1207,1,14,1325,123,6,170,11,57,5874,492,5
51892,1,20,125,FALSE,FALSE,FALSE,FALSE,TRUE,20459.44,25,42,61,1,0,0,0,2835,307,1,1975,72,26,6949,639,5
53758,2,35,110,FALSE,FALSE,FALSE,FALSE,FALSE,20281.95,21,45,59,4,1903,0,0,281,35,5,1971,40,31,4956,343,5
37146,1,28,297,TRUE,TRUE,TRUE,TRUE,TRUE,20053.24,19,74,71,9,773,2,21,3469,273,0,11,0,77,7036,867,5
29308,1,26,429,TRUE,TRUE,TRUE,TRUE,TRUE,20030.21,12,140,70,1,3,8,2,701,85,0,1051,21,27,4896,843,5
45392,2,25,193,TRUE,TRUE,TRUE,TRUE,FALSE,19867.26,15,145,132,1,1,1,17,3203,272,1,250,5,58,8022,1260,5
53345,1,21,113,FALSE,FALSE,FALSE,FALSE,FALSE,19719.35,24,28,75,0,0,5,2,4372,277,5,1751,79,34,6846,523,5
41154,1,22,246,TRUE,TRUE,TRUE,TRUE,TRUE,19539.73,13,81,68,0,0,3,30,2328,190,55,1281,172,141,6181,949,5
49382,1,22,149,TRUE,TRUE,TRUE,TRUE,FALSE,19426.35,14,56,85,10,348,3,19,1976,288,6,1299,47,51,6363,906,5
53040,1,29,115,FALSE,FALSE,TRUE,TRUE,TRUE,19232.12,18,28,19,1,0,0,2,3591,302,2,1610,46,32,6477,547,5
53717,1,22,110,FALSE,FALSE,FALSE,FALSE,FALSE,19092.36,22,14,58,0,0,0,0,3995,255,0,1971,100,25,6326,451,5
48098,1,18,158,TRUE,TRUE,TRUE,FALSE,TRUE,18990.67,21,54,32,2,73,6,4,2658,381,3,1701,81,32,5862,811,5
28651,1,18,445,FALSE,FALSE,TRUE,TRUE,TRUE,18847.14,5,42,25,1,0,1,1,4635,313,0,2,0,7,5997,538,5
